Datetime EST HB,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,20,"Bid Amount
","TAIT
MW Out Unplanned",Mango Readable,Mango Readable,Mango Readable,Mango Readable,"TAIT
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"
hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","
Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
2/4/2015 19:00:00,2/4/2015 20:00:00,2/5/2015 0:00:00,2/5/2015,0,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-28.08,397.4552348,,494.33,80.40%,,41.4068476,,,10.33,5.5,2.61572,0.945917
2/4/2015 20:00:00,2/4/2015 21:00:00,2/5/2015 1:00:00,2/5/2015,1,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,467.2970554,,575.82,81.15%,,50.2872924,,,15.54,5.56,2.383284,0.954743
2/4/2015 21:00:00,2/4/2015 22:00:00,2/5/2015 2:00:00,2/5/2015,2,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-25.44,436.5083054,,533.42,81.83%,,44.45243621,,,12.57,5.84,2.414581,0.962724
2/4/2015 22:00:00,2/4/2015 23:00:00,2/5/2015 3:00:00,2/5/2015,3,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-24.47,415.9314488,,517.74,80.34%,,43.8604101,,,13.05,5.4,2.377258,0.945122
2/4/2015 23:00:00,2/5/2015 0:00:00,2/5/2015 4:00:00,2/5/2015,4,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,431.2834434,,530.06,81.36%,,52.5388878,,,13.16,4.48,2.978395,0.957228
2/5/2015 0:00:00,2/5/2015 1:00:00,2/5/2015 5:00:00,2/5/2015,5,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-2.0000,-47.48,1529.662295,,"1,894.33",80.75%,,258.8828697,,,91.76,1.06,2.789085,0.949995
2/5/2015 1:00:00,2/5/2015 2:00:00,2/5/2015 6:00:00,2/5/2015,6,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,1577.845749,,"1,962.78",80.39%,,281.46675032,,,90,2.68,3.036974,0.945744
2/5/2015 2:00:00,2/5/2015 3:00:00,2/5/2015 7:00:00,2/5/2015,7,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-22.11,1291.930606,,"1,593.84",81.06%,,158.88047412,,,73,3.21,2.084772,0.953619
2/5/2015 3:00:00,2/5/2015 4:00:00,2/5/2015 8:00:00,2/5/2015,8,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-23.56,400.7976297,,490.36,81.73%,,30.78950836,,,11.86,8.28,1.528774,0.961583
2/5/2015 4:00:00,2/5/2015 5:00:00,2/5/2015 9:00:00,2/5/2015,9,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,591.6162863,,722.72,81.86%,,49.679015,,,25.35,7.03,1.53425,0.963061
2/5/2015 5:00:00,2/5/2015 6:00:00,2/5/2015 10:00:00,2/5/2015,10,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-26.91,589.0815737,,715.83,82.29%,,51.02759565,,,18.25,9.56,1.834865,0.968164
2/5/2015 6:00:00,2/5/2015 7:00:00,2/5/2015 11:00:00,2/5/2015,11,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-36.38,1446.146328,,"1,803.21",80.20%,,168.47472372,,,77.8,6.16,2.006607,0.943509
